quote,author,tags
“Some people never go crazy. What truly horrible lives they must lead.”,Charles Bukowski,['humor']
"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”",Terry Pratchett,"['humor', 'open-mind', 'thinking']"
"“Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!”",Dr. Seuss,"['humor', 'philosophy']"
"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”",J.D. Salinger,"['authors', 'books', 'literature', 'reading', 'writing']"
“The reason I talk to myself is because I’m the only one whose answers I accept.”,George Carlin,"['humor', 'insanity', 'lies', 'lying', 'self-indulgence', 'truth']"
"“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”",John Lennon,"['beatles', 'connection', 'dreamers', 'dreaming', 'dreams', 'hope', 'inspirational', 'peace']"
“I am free of all prejudice. I hate everyone equally. ”,W.C. Fields,"['humor', 'sinister']"
“The question isn't who is going to let me; it's who is going to stop me.”,Ayn Rand,[]
“′Classic′ - a book which people praise and don't read.”,Mark Twain,"['books', 'classic', 'reading']"
“Anyone who has never made a mistake has never tried anything new.”,Albert Einstein,['mistakes']
"“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”",Jane Austen,"['humor', 'love', 'romantic', 'women']"
"“Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.”",J.K. Rowling,['integrity']
"“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”",Jane Austen,"['books', 'library', 'reading']"
"“There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense.”",Jane Austen,"['elizabeth-bennet', 'jane-austen']"
“Some day you will be old enough to start reading fairy tales again.”,C.S. Lewis,"['age', 'fairytales', 'growing-up']"
“We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.”,C.S. Lewis,['god']
“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”,Mark Twain,"['death', 'life']"
“A lie can travel half way around the world while the truth is putting on its shoes.”,Mark Twain,"['misattributed-mark-twain', 'truth']"
"“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”",C.S. Lewis,"['christianity', 'faith', 'religion', 'sun']"
"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”",J.K. Rowling,['truth']
"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”",Jimi Hendrix,"['death', 'life']"
“To die will be an awfully big adventure.”,J.M. Barrie,"['adventure', 'love']"
“It takes courage to grow up and become who you really are.”,E.E. Cummings,['courage']
“But better to get hurt by the truth than comforted with a lie.”,Khaled Hosseini,['life']
“You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.”,Harper Lee,['better-life-empathy']
"“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”",Madeleine L'Engle,"['books', 'children', 'difficult', 'grown-ups', 'write', 'writers', 'writing']"
“Never tell the truth to people who are not worthy of it.”,Mark Twain,['truth']
"“A person's a person, no matter how small.”",Dr. Seuss,['inspirational']
"“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",George R.R. Martin,"['books', 'mind']"
